Designator,Mid X,Mid Y,Rotation,Layer
C1,188.406054,-83.891454,270.0,top
C10,164.772813,-76.853658,180.0,bottom
C100,149.446574,-99.279044,0.0,top
C101,140.659124,-88.163614,90.0,bottom
C102,133.654784,-96.710804,0.0,bottom
C103,137.494524,-88.587154,90.0,bottom
C104,136.448814,-92.799204,180.0,bottom
C105,148.763614,-91.580004,180.0,top
C106,148.760774,-94.453044,0.0,top
C107,134.3,-93.73,0.0,bottom
C108,133.77,-121.62,270.0,top
C109,137.76,-121.58,270.0,top
C11,171.96,-78.7,0.0,bottom
C110,135.66,-121.43,270.0,top
C111,135.69,-105.54,0.0,top
C112,136.653074,-85.631674,0.0,bottom
C113,161.7726,-99.6442,270.0,bottom
C114,147.9042,-99.822,180.0,bottom
C115,166.200604,-94.535594,180.0,top
C116,166.200604,-92.655994,0.0,top
C117,143.814794,-86.779384,90.0,bottom
C118,161.7726,-97.1296,90.0,bottom
C119,152.501574,-87.956794,0.0,top
C12,171.9625,-80.194601,0.0,bottom
C120,152.501574,-88.976194,180.0,top
C121,146.253194,-91.249794,270.0,bottom
C122,164.1602,-99.5172,90.0,bottom
C123,144.49,-103.05,270.0,bottom
C124,156.4386,-100.7618,0.0,bottom
C125,144.653004,-89.141594,90.0,bottom
C126,154.559,-98.3234,0.0,bottom
C127,145.414994,-86.652384,90.0,bottom
C128,154.5844,-96.7232,0.0,bottom
C129,143.459204,-93.662804,0.0,bottom
C13,168.9536,-81.032801,90.0,bottom
C130,155.143204,-95.059804,270.0,bottom
C131,142.239994,-88.252594,90.0,bottom
C132,155.321,-87.503,90.0,bottom
C133,147.9042,-98.8822,180.0,bottom
C134,164.084,-95.5294,90.0,bottom
C135,147.8788,-100.7618,180.0,bottom
C136,161.798,-93.4466,90.0,bottom
C137,164.1348,-89.1286,90.0,bottom
C138,141.765654,-103.3526,0.0,top
C139,128.651,-110.7694,180.0,top
C14,179.422654,-95.383246,90.0,bottom
C140,130.479814,-107.124784,90.0,bottom
C141,127.1986,-104.382,180.0,top
C146,122.03,-79.23,180.0,top
C147,122.01,-80.51,180.0,top
C148,126.29,-84.95,0.0,top
C149,121.29,-76.46,90.0,top
C15,184.219154,-90.103246,180.0,bottom
C150,129.81,-76.58,90.0,top
C16,184.219154,-88.643246,180.0,bottom
C17,187.072654,-93.373246,180.0,bottom
C18,184.219154,-87.137854,180.0,bottom
C19,184.219154,-96.353246,0.0,bottom
C2,188.396354,-92.419454,90.0,top
C20,187.042654,-96.383246,180.0,bottom
C21,144.497154,-80.518055,0.0,bottom
C22,151.934654,-78.278051,90.0,bottom
C23,158.501413,-80.749059,0.0,bottom
