Ref,Val,Package,PosX,PosY,Rot,Side
"C6","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",168.257500,-73.530000,180.000000,bottom
"C7","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",172.132654,-90.822854,0.000000,bottom
"C8","10uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",181.372654,-96.675746,-90.000000,bottom
"C9","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.152654,-97.132854,180.000000,bottom
"C10","100pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.772813,-76.853658,0.000000,bottom
"C11","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",171.960000,-78.700000,180.000000,bottom
"C12","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",171.962500,-80.194601,180.000000,bottom
"C13","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",168.953600,-81.032801,90.000000,bottom
"C14","100pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",179.422654,-95.383246,90.000000,bottom
"C15","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.219154,-90.103246,0.000000,bottom
"C16","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.219154,-88.643246,0.000000,bottom
"C17","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",187.072654,-93.373246,0.000000,bottom
"C18","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.219154,-87.137854,0.000000,bottom
"C19","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.219154,-96.353246,180.000000,bottom
"C20","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",187.042654,-96.383246,0.000000,bottom
"C21","47uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",144.497154,-80.518055,180.000000,bottom
"C22","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",151.934654,-78.278051,90.000000,bottom
"C23","47uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",158.501413,-80.749059,180.000000,bottom
"C24","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.228912,-83.194057,180.000000,bottom
"C25","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.219154,-93.403246,180.000000,bottom
"C26","47uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",144.517154,-82.848055,180.000000,bottom
"C27","47uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",158.451413,-83.079059,180.000000,bottom
"C38","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",167.600000,-115.460000,0.000000,bottom
"C39","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.781554,-110.455054,0.000000,bottom
"C40","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.780000,-113.320000,180.000000,bottom
"C41","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",166.470000,-112.870000,0.000000,bottom
"C42","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",166.490000,-109.550000,180.000000,bottom
"C43","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.880000,-112.290000,90.000000,bottom
"C44","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",162.781554,-109.515254,0.000000,bottom
"C45","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",166.480000,-110.770000,180.000000,bottom
"C46","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",166.480000,-111.910000,180.000000,bottom
"C47","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",167.600000,-114.510000,0.000000,bottom
"C48","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",163.010000,-107.920000,-90.000000,bottom
"C49","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",161.645594,-112.128594,0.000000,bottom
"C50","4.7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.890000,-116.700000,0.000000,bottom
"C54","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",122.631174,-88.430404,90.000000,bottom
"C56","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",120.116614,-87.211204,90.000000,bottom
"C60","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",111.353604,-92.062614,180.000000,bottom
"C61","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",113.210000,-95.820000,180.000000,bottom
